date,tsi_1au,tsi_true_earth
2003-11-11,1361.0415,1388.5664
2003-11-12,1361.137,1389.2786
2003-11-13,1361.1531,1389.9348
2003-11-14,1361.1751,1390.4684
2003-11-15,1360.9836,1391.2154
2003-11-16,1360.9475,1391.5409
2003-11-17,1360.8411,1392.024
2003-11-18,1360.7748,1392.5758
2003-11-19,1360.8528,1393.184
2003-11-20,1360.8754,1393.8269
2003-11-21,1360.7665,1394.2228
2003-11-22,1360.5921,1394.6173
2003-11-23,1360.6024,1395.1601
2003-11-24,1360.7115,1395.8032
2003-11-25,1360.8096,1396.4632
2003-11-26,1360.8906,1397.0342
2003-11-27,1361.1274,1397.7815
2003-11-28,1361.5471,1398.799
2003-11-29,1361.7694,1399.4988
2003-11-30,1361.8789,1400.1012
2003-12-01,1361.6827,1400.3761
2003-12-02,1361.4341,1400.6345
2003-12-03,1361.3138,1400.8843
2003-12-04,1361.1459,1401.2257
2003-12-05,1360.9731,1401.449
2003-12-06,1360.9031,1401.7926
2003-12-07,1360.9818,1402.2749
2003-12-08,1360.9918,1402.6696
2003-12-09,1360.9991,1403.0517
2003-12-10,1360.9902,1403.3676
2003-12-11,1360.9626,1403.6851
2003-12-12,1360.9437,1403.9789
2003-12-13,1360.8553,1404.1892
2003-12-14,1360.8003,1404.4141
2003-12-15,1360.8552,1404.7485
2003-12-16,1361.0266,1405.1709
2003-12-17,1361.2361,1405.6106
2003-12-18,1361.4358,1406.0452
2003-12-19,1361.4472,1406.297
2003-12-20,1361.4851,1406.5401
2003-12-21,1361.5074,1406.6769
2003-12-22,1361.3806,1406.8256
2003-12-23,1361.2289,1406.8256
2003-12-24,1361.1556,1406.9016
2003-12-25,1361.1696,1407.0731
2003-12-26,1361.2473,1407.2966
2003-12-27,1361.4135,1407.6001
2003-12-28,1361.5162,1407.8259
2003-12-29,1361.5638,1407.9845
2003-12-30,1361.5139,1408.0285
2003-12-31,1361.3519,1407.9324
2004-01-01,1361.1175,1407.7552
2004-01-02,1360.9054,1407.581
2004-01-03,1360.6806,1407.3779
2004-01-04,1360.4747,1407.1782
2004-01-05,1360.2169,1406.9067
2004-01-06,1360.0441,1406.7044
2004-01-07,1360.0798,1406.7014
